dbscan_label,평균면적당 임대료_공유오피스,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품
-1,0.0,0.0,0.0,0.0,0.0,0.0,710000.0,0.0,79095.075,0.0,0.0
0,214.19223867005303,4590.600632667445,2091.091873802613,1715.829399539983,98310.9933827759,20070.66714560107,61517.400206080754,160998.23966495402,35249.42527463323,0.0,33523.488654085806
1,21226.706079645093,40441.17647058824,0.0,0.0,122516.34867991334,0.0,88278.10733568663,229253.27052489907,50884.5180584311,0.0,292916.6666666667
2,0.0,0.0,0.0,0.0,554225.8214285715,0.0,365357.1428571429,0.0,568750.0,0.0,0.0
3,0.0,0.0,0.0,0.0,458091.1609042425,323014.28571428574,449734.693877551,353961.34624043223,87072.22222222222,0.0,534323.0909090909
4,18441.10082961072,0.0,0.0,0.0,160904.09169850644,0.0,238616.91657054977,72706.0879697058,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,258408.63960867265,349431.8181818182,198950.98977116297,871686.046511628,114790.6052631579,0.0,0.0
6,0.0,132978.72340425532,0.0,0.0,339432.33414020616,96034.23105965264,180914.81915283308,296597.4111980735,143110.2287023724,0.0,223723.80619099262
7,0.0,0.0,0.0,0.0,481519.7310152534,547037.5939849623,376677.9661016949,0.0,0.0,0.0,626322.7605633803
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128177.43047575273,1183805.3340665384,0.0,0.0
9,0.0,57432.432432432426,0.0,37625.0,0.0,0.0,90583.76132930514,144772.72727272726,0.0,0.0,0.0
