역명,month,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,dbscan_label
가락시장역,1,100710,118710,127207,0
가락시장역,1,125572,107287,132363,0
강남구청역,1,29258,139017,239759,0
강남구청역,1,286790,112432,52773,0
강동구청역,1,103752,71350,53787,0
강동구청역,1,65228,65122,107750,0
건대입구역,1,313809,436841,519171,0
건대입구역,1,267907,529303,550649,0
공덕역,1,166036,285903,352872,0
공덕역,1,365226,215924,231621,0
광흥창역,1,69560,69780,65705,0
광흥창역,1,70226,52852,74510,0
교대역,1,145289,424479,514123,0
교대역,1,514803,329800,227181,0
구산역,1,96321,45938,20823,0
구산역,1,13433,32614,66031,0
군자역,1,276495,191472,174068,0
군자역,1,117443,181928,293786,0
굽은다리역,1,99670,60409,36337,0
굽은다리역,1,28407,57256,104172,0
남구로역,1,111208,113244,141599,0
남구로역,1,190656,96458,97703,0
노원역,1,391152,416132,360366,0
노원역,1,282078,465975,536277,0
논현역,1,41378,155981,269668,0
논현역,1,273676,131971,78787,0
단대오거리역,1,145251,70378,42261,0
단대오거리역,1,42277,66640,143850,0
당고개역,1,112100,56781,25461,0
당고개역,1,22486,45464,92221,0
당산역,1,160364,140971,135949,0
당산역,1,150082,135955,220566,0
대림역,1,348754,272370,168516,0
대림역,1,169680,306152,327550,0
대흥역,1,53952,70644,63640,0
대흥역,1,66027,64380,67574,0
독바위역,1,36020,14592,5558,0
독바위역,1,5739,13861,37816,0
동대문역,1,88839,308051,195763,0
동대문역,1,225111,249736,129975,0
동대입구역,1,25194,90367,113940,0
동대입구역,1,111817,94641,42508,0
동묘앞역,1,77125,146607,74406,0
동묘앞역,1,80006,129163,100688,0
디지털미디어시티역,1,151003,100105,93610,0
디지털미디어시티역,1,147585,83529,152509,0
뚝섬역,1,70329,222252,326691,0
뚝섬역,1,329609,214549,111948,0
마들역,1,172245,69546,26022,0
마들역,1,23016,67734,156920,0
마포구청역,1,138798,102040,81273,0
마포구청역,1,72862,84507,134570,0
면목역,1,189469,87073,45669,0
면목역,1,39493,90924,177318,0
미아사거리역,1,266615,177698,113871,0
미아사거리역,1,81754,179094,291356,0
미아역,1,140427,99478,59422,0
미아역,1,61015,85639,139758,0
불광역,1,202181,130826,81998,0
불광역,1,78375,135995,220373,0
사가정역,1,187863,102285,62883,0
사가정역,1,50350,108251,194164,0
사당역,1,553660,493560,558155,0
사당역,1,299339,556644,771445,0
상계역,1,235061,114240,57034,0
상계역,1,42823,107195,219054,0
상봉역,1,199210,123553,92768,0
상봉역,1,64442,122297,211798,0
상수역,1,45665,84416,125708,0
상수역,1,67806,121513,100302,0
서대문역,1,69562,173604,229526,0
서대문역,1,315309,97491,70171,0
서초역,1,87141,221019,218398,0
서초역,1,294526,137247,76832,0
석계역,1,147071,73662,40434,0
석계역,1,29138,79630,162681,0
송정역,1,58969,43776,29945,0
송정역,1,24974,37685,62704,0
수락산역,1,135652,75739,37685,0
수락산역,1,34642,69065,139584,0
숙대입구역,1,70888,122711,135281,0
숙대입구역,1,106530,109284,109404,0
숭실대입구역,1,125769,97954,51929,0
숭실대입구역,1,46211,87874,140647,0
신길역,1,62651,31165,28296,0
신길역,1,27522,31764,68041,0
신당역,1,161672,181724,196411,0
신당역,1,139853,193202,235728,0
신대방삼거리역,1,185330,89477,52911,0
신대방삼거리역,1,38802,89496,183508,0
신림역,1,727997,390551,242725,0
신림역,1,125179,385039,796464,0
신용산역,1,52783,184397,257665,0
신용산역,1,239808,176842,105864,0
신정역,1,201565,77673,33642,0
신정역,1,28703,71607,153078,0
신촌역,1,161327,385150,384975,0
신촌역,1,246259,395841,315404,0
신풍역,1,130809,68642,40955,0
신풍역,1,43063,66776,113512,0
아차산역,1,144532,97574,59207,0
아차산역,1,54881,96313,147676,0
어린이대공원역,1,90541,132544,105540,0
어린이대공원역,1,110138,108392,107402,0
여의도역,1,44887,306580,405768,0
여의도역,1,523691,189630,80328,0
역촌역,1,43262,20347,11312,0
역촌역,1,13945,25777,55969,0
영등포구청역,1,167589,209011,262281,0
영등포구청역,1,280372,171992,201218,0
오목교역,1,153414,172141,178006,0
오목교역,1,155959,184143,193378,0
왕십리역,1,139871,164992,177757,0
왕십리역,1,102190,167601,197750,0
용마산역,1,77104,34376,16624,0
용마산역,1,17527,34411,69766,0
월곡역,1,121006,77599,54947,0
월곡역,1,51861,69427,127485,0
을지로3가역,1,66060,328522,519909,0
을지로3가역,1,533023,236242,149502,0
을지로4가역,1,42863,195563,200497,0
을지로4가역,1,246820,132591,66535,0
을지로입구역,1,71904,456846,717960,0
을지로입구역,1,764305,355793,170543,0
이수역,1,111605,126092,146060,0
이수역,1,96345,130092,145462,0
일원역,1,71966,117047,41289,0
일원역,1,86501,69011,67445,0
잠실새내역,1,210432,173966,154424,0
잠실새내역,1,84800,200335,251244,0
장지역,1,151588,131920,110409,0
장지역,1,115488,111045,136244,0
종각역,1,39214,355340,596140,0
종각역,1,613776,254522,99472,0
종로3가역,1,57190,414210,554589,0
종로3가역,1,399100,437189,185488,0
종합운동장역,1,62364,63139,56287,0
종합운동장역,1,48851,73003,75977,0
중화역,1,122186,68958,41005,0
중화역,1,39354,64175,120660,0
증산역,1,119974,57953,27586,0
증산역,1,21381,57541,125709,0
창동역,1,244796,171505,107847,0
창동역,1,93003,182936,278959,0
청담역,1,40011,173446,239678,0
청담역,1,343921,108441,53886,0
총신대입구역,1,152582,123594,117967,0
총신대입구역,1,92201,148839,194116,0
충무로역,1,64764,255571,352862,0
충무로역,1,364982,205947,125703,0
충정로역,1,81527,128370,143873,0
충정로역,1,188990,85769,95104,0
태릉입구역,1,140107,111119,72675,0
태릉입구역,1,57865,100343,163721,0
학동역,1,36790,211408,352669,0
학동역,1,444712,136416,53389,0
한강진역,1,15201,96815,143240,0
한강진역,1,110807,140116,44736,0
합정역,1,226132,390685,608274,0
합정역,1,365645,501109,424524,0
행당역,1,102111,48903,24622,0
행당역,1,19788,47307,89597,0
홍제역,1,192639,112324,55195,0
홍제역,1,47086,102169,188558,0
회현역,1,26673,257302,266248,0
회현역,1,340055,194635,42985,0
효창공원앞역,1,63060,54502,48140,0
효창공원앞역,1,45468,41643,60623,0
가락시장역,2,89286,110022,108954,0
가락시장역,2,110021,97425,116791,0
강남구청역,2,25988,127786,204220,0
강남구청역,2,247190,103805,48573,0
강동구청역,2,91038,66471,48174,0
강동구청역,2,57173,60750,94319,0
건대입구역,2,273659,398608,473917,0
건대입구역,2,231832,490305,499250,0
공덕역,2,149123,265720,307936,0
공덕역,2,316853,202478,210726,0
광화문역,2,38939,292066,411512,0
광화문역,2,471394,228434,73796,0
광흥창역,2,61144,64566,59492,0
광흥창역,2,61120,50006,66639,0
교대역,2,128427,381860,445170,0
교대역,2,443852,295213,203260,0
구산역,2,85010,44247,19851,0
구산역,2,12107,31766,58686,0
군자역,2,243321,179258,160500,0
군자역,2,103393,170182,263070,0
굽은다리역,2,87532,57277,35173,0
굽은다리역,2,25479,55022,93339,0
남구로역,2,98927,107204,121645,0
남구로역,2,164838,90021,88464,0
노원역,2,345938,389094,333198,0
노원역,2,249743,437786,491329,0
논현역,2,37850,146716,235925,0
논현역,2,241347,123491,73897,0
단대오거리역,2,127592,68585,38242,0
단대오거리역,2,36444,63149,127192,0
당고개역,2,98851,55245,25114,0
당고개역,2,21959,42963,82667,0
당산역,2,139113,132966,120168,0
당산역,2,130593,127909,196612,0
대림역,2,305628,271223,159899,0
대림역,2,156450,299882,296517,0
대청역,2,84652,73640,47032,0
대청역,2,50306,54368,87910,0
대흥역,2,48110,62934,56370,0
대흥역,2,57128,58049,59622,0
독바위역,2,31581,14247,5644,0
독바위역,2,5736,13787,33463,0
동대문역,2,80570,303736,194780,0
동대문역,2,203527,263134,131644,0
동대입구역,2,22103,87525,96782,0
동대입구역,2,102039,84557,40860,0
동묘앞역,2,69985,151592,75255,0
동묘앞역,2,72799,143350,93392,0
디지털미디어시티역,2,133235,93276,81782,0
디지털미디어시티역,2,126495,78234,135023,0
마들역,2,152069,67320,25051,0
마들역,2,21212,63904,139648,0
마포구청역,2,123290,96080,74121,0
마포구청역,2,64491,80031,120310,0
면목역,2,167395,82373,43071,0
면목역,2,36124,86282,156860,0
미아사거리역,2,235910,170556,108393,0
미아사거리역,2,73901,172608,261106,0
미아역,2,125778,95960,56612,0
미아역,2,56113,83418,126020,0
봉화산역,2,106158,48900,22858,0
봉화산역,2,24551,47452,94271,0
불광역,2,178642,126173,79455,0
불광역,2,72774,133581,197870,0
사가정역,2,164653,98189,59712,0
사가정역,2,46588,102234,171047,0
사당역,2,490106,455458,492573,0
사당역,2,261236,508541,690545,0
상계역,2,205968,110417,54790,0
상계역,2,40052,101881,195327,0
상봉역,2,175741,118316,87858,0
상봉역,2,57476,117444,192140,0
상수역,2,39866,75077,116249,0
상수역,2,56701,112290,94315,0
서대문역,2,61445,158256,195450,0
서대문역,2,270715,90332,62557,0
서초역,2,77620,202580,189244,0
서초역,2,257680,125690,69755,0
석계역,2,129230,69936,38628,0
석계역,2,27492,75072,143944,0
송정역,2,52450,41091,27288,0
송정역,2,21661,35913,55979,0
수락산역,2,119974,73108,36327,0
수락산역,2,31917,65865,124496,0
숙대입구역,2,63616,116218,120860,0
숙대입구역,2,94420,104320,97463,0
숭실대입구역,2,110662,87614,48308,0
숭실대입구역,2,39383,83379,124571,0
신당역,2,140352,171269,180834,0
신당역,2,126902,180545,209549,0
신대방삼거리역,2,163484,83910,49544,0
신대방삼거리역,2,35395,83120,161266,0
신림역,2,639692,372752,232842,0
신림역,2,115436,365042,713061,0
신용산역,2,47925,175411,234588,0
신용산역,2,212380,177648,101147,0
신정역,2,175674,73518,31752,0
신정역,2,25803,66845,135140,0
신촌역,2,143484,344725,352948,0
신촌역,2,213717,361228,288408,0
신풍역,2,115051,66076,37843,0
신풍역,2,39505,63068,100016,0
아차산역,2,125006,94778,57468,0
아차산역,2,47467,94165,131238,0
어린이대공원역,2,79512,117509,97994,0
어린이대공원역,2,93910,103621,96077,0
여의도역,2,40673,282138,350988,0
여의도역,2,451114,181606,74225,0
역촌역,2,38342,18989,9998,0
역촌역,2,12411,23918,48167,0
영등포구청역,2,148280,193864,227483,0
영등포구청역,2,243577,159591,179739,0
오목교역,2,135143,160602,159387,0
오목교역,2,136742,172193,173299,0
왕십리역,2,120822,155807,166672,0
왕십리역,2,92090,162786,183248,0
용마산역,2,68013,32701,15886,0
용마산역,2,15791,32602,62361,0
월곡역,2,105820,72732,49395,0
월곡역,2,44877,65959,112571,0
을지로3가역,2,64654,307955,454560,0
을지로3가역,2,456620,226415,146842,0
을지로4가역,2,42425,184622,172734,0
을지로4가역,2,213465,125805,66568,0
을지로입구역,2,70079,436122,627714,0
을지로입구역,2,660228,338703,167252,0
이수역,2,99324,118137,131828,0
이수역,2,85826,121181,131202,0
일원역,2,63211,101026,36532,0
일원역,2,72534,61856,59287,0
잠실새내역,2,185852,162666,139291,0
잠실새내역,2,74473,185768,226279,0
장지역,2,131973,122446,101821,0
장지역,2,101232,104607,120766,0
종각역,2,36647,325704,507922,0
종각역,2,519758,234600,91979,0
종로3가역,2,56954,384708,505031,0
종로3가역,2,346284,414029,184662,0
종합운동장역,2,54114,57691,42850,0
종합운동장역,2,40742,60563,65611,0
중화역,2,108003,65651,38800,0
중화역,2,35955,61116,107674,0
증산역,2,105565,56015,26361,0
증산역,2,19017,54438,112762,0
창동역,2,217496,163249,101806,0
창동역,2,83912,173092,253776,0
청담역,2,35555,155473,206466,0
청담역,2,295296,100059,49555,0
총신대입구역,2,133735,116841,106892,0
총신대입구역,2,81674,138742,173484,0
충무로역,2,63916,244394,314533,0
충무로역,2,317889,202626,124718,0
충정로역,2,72173,117942,124484,0
충정로역,2,163632,80347,85532,0
태릉입구역,2,123490,104727,67765,0
태릉입구역,2,50986,95271,146879,0
학동역,2,32943,191435,299836,0
학동역,2,383458,122196,49007,0
한양대역,2,23421,89377,61540,0
한양대역,2,86814,70044,32360,0
행당역,2,89103,46541,22787,0
행당역,2,17906,44568,77836,0
홍제역,2,168838,108061,53593,0
홍제역,2,43305,97777,167615,0
회현역,2,26695,239614,229922,0
회현역,2,298569,186066,40622,0
효창공원앞역,2,55839,50783,43390,0
효창공원앞역,2,40180,38934,53246,0
가락시장역,3,105339,121189,118409,0
가락시장역,3,121010,109256,130087,0
강남구청역,3,32186,142019,226026,0
강남구청역,3,270702,119263,55536,0
강동구청역,3,104713,72213,52292,0
강동구청역,3,61360,68995,106020,0
강동역,3,181655,142444,92694,0
강동역,3,102400,117361,182484,0
건대입구역,3,320336,502982,568444,0
건대입구역,3,295923,573637,585370,0
공덕역,3,176570,302491,342265,0
공덕역,3,353020,232083,241667,0
광흥창역,3,72449,71910,64745,0
광흥창역,3,66755,56341,74841,0
교대역,3,156698,432358,505570,0
교대역,3,501189,343687,237186,0
구산역,3,100448,51261,22268,0
구산역,3,14456,36075,66076,0
군자역,3,275359,208587,181997,0
군자역,3,121871,193601,296926,0
굽은다리역,3,101239,65111,39861,0
굽은다리역,3,29793,65104,106046,0
남구로역,3,115515,111200,129138,0
남구로역,3,175073,99361,99324,0
노원역,3,406153,441181,372687,0
노원역,3,297353,491816,553251,0
논현역,3,44872,158231,259563,0
논현역,3,262048,137611,84342,0
단대오거리역,3,144093,84691,45268,0
단대오거리역,3,45334,71551,142328,0
당산역,3,166864,153808,135653,0
당산역,3,145364,155160,228613,0
대림역,3,356199,297754,171011,0
대림역,3,177400,327827,334854,0
대청역,3,98822,81531,51538,0
대청역,3,55897,60855,100244,0
대흥역,3,57363,87108,75524,0
대흥역,3,81219,78356,73508,0
독바위역,3,36637,15463,5912,0
독바위역,3,7007,15232,36333,0
동대문역,3,101239,344955,228360,0
동대문역,3,241362,297613,161950,0
동대입구역,3,29334,134692,128530,0
동대입구역,3,147628,127313,52688,0
동묘앞역,3,87242,177244,87511,0
동묘앞역,3,92837,165586,110259,0
디지털미디어시티역,3,156698,105225,96292,0
디지털미디어시티역,3,137430,91312,153977,0
마들역,3,173829,76504,27149,0
마들역,3,25592,73450,155714,0
마포구청역,3,145440,110798,88509,0
마포구청역,3,72044,93546,140610,0
면목역,3,189958,110444,52076,0
면목역,3,55463,102508,175300,0
