역명,month,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,dbscan_label
가락시장역,1,6.0,25.0,21.0,0
가락시장역,1,11.0,36.0,14.0,0
강남구청역,1,4.0,57.0,40.0,0
강남구청역,1,17.0,82.0,26.0,0
강동구청역,1,1.0,10.0,2.0,0
강동구청역,1,3.0,9.0,11.0,0
건대입구역,1,95.0,483.0,286.0,0
건대입구역,1,84.0,457.0,352.0,0
공덕역,1,441.0,1065.0,376.0,0
공덕역,1,96.0,776.0,1048.0,0
광흥창역,1,33.0,53.0,22.0,0
광흥창역,1,5.0,44.0,31.0,0
교대역,1,45.0,232.0,120.0,0
교대역,1,51.0,210.0,116.0,0
구산역,1,3.0,5.0,2.0,0
구산역,1,4.0,4.0,2.0,0
군자역,1,24.0,106.0,30.0,0
군자역,1,17.0,59.0,60.0,0
굽은다리역,1,1.0,6.0,7.0,0
굽은다리역,1,2.0,9.0,2.0,0
남구로역,1,60.0,94.0,33.0,0
남구로역,1,18.0,153.0,68.0,0
노원역,1,210.0,122.0,49.0,0
노원역,1,14.0,110.0,218.0,0
논현역,1,15.0,96.0,43.0,0
논현역,1,18.0,103.0,50.0,0
단대오거리역,1,3.0,13.0,4.0,0
단대오거리역,1,3.0,4.0,5.0,0
당고개역,1,0.0,13.0,5.0,0
당고개역,1,1.0,9.0,3.0,0
당산역,1,5.0,31.0,18.0,0
당산역,1,9.0,34.0,46.0,0
대림역,1,141.0,343.0,145.0,0
대림역,1,82.0,397.0,206.0,0
대흥역,1,5.0,32.0,16.0,0
대흥역,1,2.0,21.0,13.0,0
독바위역,1,0.0,5.0,0.0,0
독바위역,1,0.0,2.0,0.0,0
동대문역,1,439.0,2512.0,2071.0,0
동대문역,1,519.0,3314.0,2936.0,0
동대입구역,1,196.0,610.0,258.0,0
동대입구역,1,80.0,569.0,360.0,0
동묘앞역,1,372.0,798.0,232.0,0
동묘앞역,1,81.0,512.0,652.0,0
디지털미디어시티역,1,24.0,38.0,11.0,0
디지털미디어시티역,1,5.0,24.0,66.0,0
뚝섬역,1,22.0,511.0,326.0,0
뚝섬역,1,85.0,515.0,115.0,0
마들역,1,2.0,8.0,1.0,0
마들역,1,0.0,1.0,3.0,0
마포구청역,1,8.0,55.0,37.0,0
마포구청역,1,6.0,57.0,17.0,0
면목역,1,9.0,22.0,3.0,0
면목역,1,0.0,6.0,14.0,0
미아사거리역,1,11.0,25.0,11.0,0
미아사거리역,1,14.0,36.0,18.0,0
미아역,1,11.0,17.0,4.0,0
미아역,1,3.0,14.0,18.0,0
불광역,1,4.0,36.0,12.0,0
불광역,1,8.0,34.0,6.0,0
사가정역,1,0.0,14.0,10.0,0
사가정역,1,0.0,10.0,8.0,0
사당역,1,33.0,234.0,119.0,0
사당역,1,22.0,213.0,129.0,0
상계역,1,0.0,5.0,5.0,0
상계역,1,0.0,4.0,5.0,0
상봉역,1,5.0,46.0,11.0,0
상봉역,1,11.0,41.0,17.0,0
상수역,1,69.0,469.0,442.0,0
상수역,1,28.0,362.0,285.0,0
