역명,month,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,kmeans_label
가락시장역,1,35907.0,91506.0,22954.0,0
가락시장역,1,39584.0,88310.0,21674.0,0
강남구청역,1,9702.0,32524.0,10915.0,0
강남구청역,1,24211.0,23800.0,5826.0,0
강동구청역,1,25796.0,35972.0,7560.0,0
강동구청역,1,16949.0,38906.0,14293.0,0
건대입구역,1,42687.0,89069.0,26713.0,0
건대입구역,1,43187.0,89120.0,25079.0,0
공덕역,1,30681.0,75461.0,23540.0,0
공덕역,1,37668.0,67423.0,17770.0,0
광흥창역,1,16449.0,29630.0,5241.0,0
광흥창역,1,15899.0,26925.0,8067.0,0
교대역,1,34218.0,147487.0,53063.0,1
교대역,1,74315.0,131651.0,20244.0,1
구산역,1,22166.0,29176.0,4095.0,0
구산역,1,10064.0,34952.0,13413.0,0
군자역,1,40832.0,64957.0,22437.0,0
군자역,1,27055.0,69794.0,22441.0,0
굽은다리역,1,31239.0,41536.0,8425.0,0
굽은다리역,1,15313.0,44095.0,17401.0,0
남구로역,1,22708.0,31565.0,9253.0,0
남구로역,1,18604.0,33362.0,11455.0,0
노원역,1,90361.0,191346.0,46983.0,1
노원역,1,86588.0,192093.0,54544.0,1
논현역,1,9050.0,27259.0,9652.0,0
논현역,1,18252.0,21054.0,5329.0,0
단대오거리역,1,33499.0,35888.0,6755.0,0
단대오거리역,1,14821.0,44188.0,15885.0,0
당고개역,1,30180.0,36427.0,6462.0,0
당고개역,1,13740.0,40635.0,17398.0,0
당산역,1,16418.0,31565.0,9709.0,0
당산역,1,17916.0,33708.0,11685.0,0
대림역,1,60109.0,92415.0,22389.0,1
대림역,1,46138.0,102046.0,30638.0,1
대흥역,1,12874.0,26791.0,5867.0,0
대흥역,1,13917.0,24674.0,6869.0,0
독바위역,1,9229.0,9854.0,1548.0,0
독바위역,1,4753.0,13623.0,6649.0,0
동대문역,1,40313.0,184767.0,41513.0,1
동대문역,1,84815.0,156042.0,21667.0,1
동대입구역,1,5437.0,22540.0,8684.0,0
동대입구역,1,16276.0,20478.0,3797.0,0
동묘앞역,1,23654.0,170880.0,21076.0,1
동묘앞역,1,45655.0,154425.0,12094.0,1
디지털미디어시티역,1,23915.0,29674.0,6714.0,0
