역명,month,점포수_공유오피스,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품,meanshift_label
가락시장역,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0
가락시장역,1,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0
강남구청역,1,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0
강남구청역,1,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0
강동구청역,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
강동구청역,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
건대입구역,1,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0,9
건대입구역,1,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0,9
공덕역,1,6.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0,4.0,0.0,1.0,14
공덕역,1,6.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0,4.0,0.0,1.0,14
광흥창역,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
광흥창역,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
교대역,1,0.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,6
교대역,1,0.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0,6
구산역,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
구산역,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
군자역,1,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,1.0,0
군자역,1,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,1.0,0
굽은다리역,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
굽은다리역,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
남구로역,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
남구로역,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
노원역,1,0.0,0.0,0.0,2.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,3
노원역,1,0.0,0.0,0.0,2.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0,3
논현역,1,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0
논현역,1,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0,0
