역명,month,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,meanshift_label
가락시장역,1,2081,5058,1850,0
가락시장역,1,1355,4177,4293,0
강남구청역,1,623,3828,3079,0
강남구청역,1,2110,4286,1533,0
강동구청역,1,1860,4506,1336,0
강동구청역,1,626,3762,3587,0
건대입구역,1,5891,22916,30322,2
건대입구역,1,4470,38556,20190,5
공덕역,1,3095,8809,3903,0
공덕역,1,2437,7701,5302,0
광흥창역,1,1575,4524,1722,0
광흥창역,1,1029,3838,2878,0
교대역,1,3898,15645,10994,0
교대역,1,7550,13836,9242,0
구산역,1,1635,5221,3830,0
구산역,1,1296,5548,2878,0
군자역,1,3310,7543,3998,0
군자역,1,1445,7298,4966,0
굽은다리역,1,1756,5551,3278,0
굽은다리역,1,1225,5528,3759,0
남구로역,1,1693,3086,1233,0
남구로역,1,862,2811,2155,0
노원역,1,8522,37171,34016,4
노원역,1,13485,50722,24633,7
논현역,1,587,3914,5166,0
논현역,1,1941,6441,2406,0
단대오거리역,1,3050,5803,1911,0
단대오거리역,1,665,4435,4848,0
당고개역,1,2328,4557,1593,0
당고개역,1,465,3570,3706,0
당산역,1,2398,5705,2103,0
당산역,1,1201,5127,4786,0
대림역,1,3620,8938,3315,0
대림역,1,2029,7720,6041,0
대흥역,1,1209,6110,5143,0
대흥역,1,2506,7632,2702,0
독바위역,1,1089,2102,525,0
독바위역,1,159,1148,1503,0
동대문역,1,1410,14079,4628,0
동대문역,1,2714,15635,2594,0
동대입구역,1,514,3219,2683,0
동대입구역,1,1062,4845,1362,0
동묘앞역,1,1062,9531,2415,0
동묘앞역,1,1454,10201,2071,0
디지털미디어시티역,1,2877,5491,1403,0
디지털미디어시티역,1,774,5095,5729,0
뚝섬역,1,1513,10583,5624,0
뚝섬역,1,3020,11692,3167,0
마들역,1,2552,5312,2400,0
마들역,1,845,4811,3632,0
마포구청역,1,2229,5079,2170,0
마포구청역,1,1111,4711,3257,0
면목역,1,2671,4819,1321,0
면목역,1,506,3786,3979,0
미아사거리역,1,6983,17583,5369,0
미아사거리역,1,3204,12910,11913,0
미아역,1,2957,8926,3488,0
미아역,1,3846,5295,4534,0
불광역,1,2278,7116,2461,0
불광역,1,1316,5931,4701,0
사가정역,1,2785,5868,1968,0
사가정역,1,887,4763,4550,0
사당역,1,9355,20981,10788,26
사당역,1,3756,19529,19199,1
상계역,1,4406,15009,7726,0
상계역,1,5821,12037,8066,0
상봉역,1,2150,6116,2783,0
상봉역,1,1188,5410,4835,0
상수역,1,1366,5825,6875,0
상수역,1,1867,9605,3928,0
서대문역,1,1812,7194,2004,0
서대문역,1,2753,5194,2424,0
서초역,1,2520,9025,2790,0
서초역,1,3234,4726,3207,0
석계역,1,2453,5411,1687,0
석계역,1,994,4524,4224,0
송정역,1,1159,2472,963,0
송정역,1,352,1971,2100,0
수락산역,1,2391,5435,1434,0
수락산역,1,654,3674,3884,0
숙대입구역,1,1391,6231,2850,0
숙대입구역,1,2462,4703,2699,0
숭실대입구역,1,2345,5494,1416,0
숭실대입구역,1,1072,4405,3993,0
신길역,1,436,668,347,0
신길역,1,114,646,758,0
신당역,1,1958,8891,4874,0
신당역,1,2379,8980,4671,0
신대방삼거리역,1,2029,5123,2863,0
신대방삼거리역,1,1140,4851,3584,0
신림역,1,6428,16590,9524,0
신림역,1,2633,16378,13258,1
신용산역,1,1211,6352,3547,0
신용산역,1,2194,7562,2470,0
신정역,1,2789,5732,2366,0
신정역,1,1768,4283,4021,0
신촌역,1,2290,17384,13186,1
신촌역,1,6712,19252,6810,0
신풍역,1,1685,3769,1125,0
신풍역,1,720,2916,2563,0
아차산역,1,3050,10840,3721,0
아차산역,1,3533,8071,4731,0
어린이대공원역,1,960,6748,2522,0
어린이대공원역,1,2405,6345,1694,0
여의도역,1,1009,6711,3655,0
여의도역,1,2270,6514,2385,0
역촌역,1,577,1430,461,0
역촌역,1,201,990,1100,0
영등포구청역,1,1908,5290,3108,0
영등포구청역,1,1535,5690,3443,0
오목교역,1,2953,17325,14967,1
오목교역,1,8163,20116,8706,26
왕십리역,1,2242,8855,5703,0
왕십리역,1,3175,10058,5381,0
용마산역,1,1376,2628,778,0
용마산역,1,450,2263,2068,0
월곡역,1,2464,4476,1294,0
월곡역,1,672,3777,3691,0
을지로3가역,1,1587,8751,4833,0
을지로3가역,1,2335,7894,3462,0
을지로4가역,1,888,3802,1797,0
을지로4가역,1,910,3965,1870,0
을지로입구역,1,1680,12460,7554,0
을지로입구역,1,2761,11538,6027,0
이수역,1,1127,5383,3570,0
이수역,1,1536,5605,2947,0
일원역,1,3671,9074,1775,0
일원역,1,1461,5838,6777,0
잠실새내역,1,6091,15144,8314,0
잠실새내역,1,2832,16282,11393,0
장지역,1,2507,7951,3486,0
장지역,1,1257,6791,4433,0
종각역,1,757,10490,8848,0
종각역,1,3387,11876,2579,0
종로3가역,1,1332,12043,7026,0
종로3가역,1,3557,13545,3347,0
종합운동장역,1,1517,5082,4112,0
종합운동장역,1,2195,5823,3728,0
중화역,1,1939,4373,1671,0
중화역,1,750,3474,3642,0
증산역,1,1869,3942,1260,0
증산역,1,441,3281,3466,0
창동역,1,4971,13011,6043,0
창동역,1,2060,11975,9764,0
청담역,1,824,4759,3775,0
청담역,1,2849,6027,1703,0
총신대입구역,1,2178,6639,3773,0
총신대입구역,1,1680,7491,4254,0
충무로역,1,1421,5850,3511,0
충무로역,1,2341,6383,2907,0
충정로역,1,1210,3479,1153,0
충정로역,1,787,2914,2530,0
태릉입구역,1,2138,6078,2136,0
태릉입구역,1,1287,5006,4273,0
학동역,1,764,4492,3849,0
학동역,1,2360,5013,1542,0
한강진역,1,148,3637,2856,0
한강진역,1,1160,4303,1370,0
합정역,1,3864,21090,17954,1
합정역,1,4804,28447,11585,5
행당역,1,2187,4462,1454,0
행당역,1,589,3938,2806,0
홍제역,1,3396,7517,2010,0
홍제역,1,825,5814,5896,0
회현역,1,657,6573,2448,0
회현역,1,1685,7188,1249,0
효창공원앞역,1,971,2736,855,0
효창공원앞역,1,554,1993,1536,0
가락시장역,2,1914,5203,1782,0
가락시장역,2,1387,4204,3995,0
강남구청역,2,685,3968,2804,0
강남구청역,2,1977,4444,1516,0
강동구청역,2,1822,4455,1447,0
강동구청역,2,551,3851,3320,0
건대입구역,2,4854,24964,30232,2
건대입구역,2,4658,39984,20361,5
공덕역,2,3226,9763,3951,0
공덕역,2,3255,8147,5282,0
광화문역,2,779,16030,7534,0
광화문역,2,4657,16127,2680,0
광흥창역,2,1773,4578,1830,0
광흥창역,2,1172,3781,2933,0
교대역,2,3984,14946,10543,0
교대역,2,6706,13280,8752,0
구산역,2,1669,5706,3781,0
구산역,2,1575,5455,2753,0
군자역,2,2673,7416,3862,0
군자역,2,1118,7162,4926,0
굽은다리역,2,1618,5834,3272,0
굽은다리역,2,1179,5514,3960,0
남구로역,2,1459,3346,1302,0
남구로역,2,796,2825,2211,0
노원역,2,7603,37225,33177,4
노원역,2,10501,51455,25469,7
논현역,2,535,3494,4440,0
논현역,2,1649,5612,2212,0
단대오거리역,2,3126,6341,1952,0
단대오거리역,2,649,4706,5032,0
당고개역,2,2051,4676,1636,0
당고개역,2,553,3092,3851,0
당산역,2,2582,5817,2075,0
당산역,2,988,5248,5088,0
대림역,2,3733,9720,3639,0
대림역,2,1657,8831,6597,0
대청역,2,2951,7557,2231,0
대청역,2,1511,5383,6222,0
대흥역,2,1237,6000,4681,0
대흥역,2,2579,7297,2664,0
독바위역,2,994,2349,517,0
독바위역,2,224,1302,1431,0
동대문역,2,1487,16391,5769,0
동대문역,2,3019,18837,3148,0
동대입구역,2,498,4208,2155,0
동대입구역,2,2345,4863,1599,0
동묘앞역,2,1144,14351,4145,0
동묘앞역,2,1836,17447,2327,0
디지털미디어시티역,2,2803,5454,1470,0
디지털미디어시티역,2,814,4963,5608,0
마들역,2,2590,5945,2208,0
마들역,2,1070,4578,3777,0
마포구청역,2,2093,4729,2222,0
마포구청역,2,902,4605,3093,0
면목역,2,2258,4939,1437,0
면목역,2,716,3566,3957,0
