역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
가락시장역,승차,2313,4378,1896,91751,113010,106794,39242,83349,22774,7,50,15,465579
가락시장역,하차,2192,4232,3811,111086,101739,116003,42955,80878,22043,11,31,18,484999
가산디지털단지역,승차,917,3189,2362,85420,372992,479031,14207,52979,19971,43,225,107,1031443
가산디지털단지역,하차,2239,3049,1516,688791,156478,96517,41883,34282,6282,41,145,94,1031317
강남구청역,승차,845,3275,2699,27946,127153,192425,10503,29286,9965,15,107,67,404286
강남구청역,하차,1835,3686,1690,237524,104130,49754,22674,22857,5885,21,117,78,450251
강남역,승차,3134,20484,23339,183356,740533,937156,26121,90106,27876,333,2750,1680,2056868
강남역,하차,8555,24510,13379,833645,625799,397198,52771,60500,12967,498,2624,1177,2033623
강동구청역,승차,2013,4339,1361,91027,68501,47347,25790,33510,7359,4,39,16,281306
강동구청역,하차,1368,3689,2841,58229,64861,88837,17395,35785,13936,9,19,11,286980
강동역,승차,3336,4112,1944,163089,133365,86215,37811,58339,13769,21,17,4,502022
강동역,하차,1336,5037,3730,102953,108237,161062,30007,57718,19925,11,29,22,490067
강변역,승차,5889,13703,5014,261998,254079,152189,35579,55750,18886,139,288,197,803711
강변역,하차,2020,10675,11302,121027,260569,246486,30075,57976,18517,81,267,152,759147
강일역,승차,3162,4189,1052,61850,32810,15232,21893,18276,3551,0,3,8,162026
강일역,하차,474,3385,4763,14846,26992,55433,8539,22089,11219,2,5,3,147750
개롱역,승차,2737,7296,2379,55334,36982,21434,20671,24734,5069,0,2,6,176644
개롱역,하차,2132,4996,4765,23857,37072,59029,11735,28130,11831,1,4,4,183556
개화산역,승차,1852,2360,762,53501,38207,24608,17749,19937,4441,2,4,1,163424
개화산역,하차,264,2010,2459,27610,32087,50873,10501,21425,8421,0,1,8,155659
거여역,승차,5444,5353,1659,107439,58426,28480,29881,29870,6088,0,2,2,272644
거여역,하차,1891,6125,5481,28987,54977,101366,13747,33523,16145,0,2,4,262248
건대입구역,승차,4960,17726,18719,286148,450682,478649,42744,79803,25870,169,710,485,1406665
건대입구역,하차,4439,25484,14182,255787,503144,517233,41585,80382,25030,73,632,579,1468550
경복궁역,승차,2110,17779,5670,59778,293782,240907,15655,53056,17303,311,5059,914,712324
경복궁역,하차,9307,12242,4008,278833,250310,87135,31478,43704,8723,2561,4496,351,733148
경찰병원역,승차,1450,1964,562,65093,50342,32906,16096,22267,4672,0,1,7,195360
경찰병원역,하차,264,1861,2366,48239,39992,58426,12624,22554,8958,4,2,0,195290
고덕역,승차,2547,14016,8954,69088,69582,39363,22281,45642,7618,7,17,2,279117
고덕역,하차,5856,8930,5789,46315,56040,72209,25427,37076,11195,12,4,2,268855
고려대역,승차,1293,3908,1201,64504,88663,58745,12969,16964,4264,21,88,39,252659
고려대역,하차,2307,2656,1735,60422,62444,78729,9495,16489,7600,13,68,63,242021
고속터미널역,승차,8233,26329,17447,215820,758774,662085,43456,182442,64019,217,1900,1680,1982402
고속터미널역,하차,5451,25238,15158,441155,707733,338467,80822,161819,25466,347,1686,722,1804064
공덕역,승차,3284,10887,4034,154462,273659,295599,31625,68573,23311,698,1350,701,868183
공덕역,하차,6882,7326,4626,315964,207679,212717,36884,62167,17874,180,1248,1485,875032
공릉역,승차,2383,7648,2910,99971,92646,61110,28935,35901,8423,1,27,7,339962
공릉역,하차,3946,4355,4131,47152,81927,121225,16920,40874,16127,2,23,4,336686
광나루역,승차,2570,8732,2817,88193,88331,60803,18334,36414,10325,83,162,174,316938
광나루역,하차,4130,6664,4889,59855,79153,84903,24178,30420,9663,47,220,166,304288
광명사거리역,승차,3831,7887,3273,198909,119377,67171,48377,84925,19995,7,24,7,553783
광명사거리역,하차,2090,5638,5810,65568,129891,178587,33947,100068,26078,1,17,26,547721
광화문역,승차,794,11431,7000,41377,300354,410121,8729,56644,21715,161,1585,721,860632
광화문역,하차,4564,11766,2741,477062,239288,80437,33968,45070,6515,656,1416,412,903895
광흥창역,승차,2267,4266,1703,63704,67948,57905,17474,31189,5326,8,66,60,251916
광흥창역,하차,1968,3835,2790,60667,53349,65079,17328,27216,8372,17,43,55,240719
교대역,승차,3804,12226,8824,139450,400454,438360,35782,131677,51932,78,375,218,1223180
교대역,하차,5426,12458,7548,448229,304614,204246,71436,118724,20463,76,372,285,1193877
구로디지털단지역,승차,5742,9500,3834,481337,404559,383502,55198,97359,39385,335,531,154,1481436
구로디지털단지역,하차,2338,7511,8575,412693,333855,508620,51138,107978,33616,42,353,721,1467440
구산역,승차,2066,6966,4351,91524,47567,20897,23374,26303,4606,3,8,3,227668
구산역,하차,3329,4173,2405,13310,33570,58739,9744,32979,13816,2,5,4,172076
구의역,승차,3988,7041,3379,259733,183493,107534,40487,47184,13024,31,77,54,666025
구의역,하차,1216,6842,6067,102826,160698,268763,22607,56396,22444,22,84,71,648036
구파발역,승차,5700,13161,5226,223804,154744,76613,43824,73427,15015,2,105,53,611674
구파발역,하차,3325,12360,9488,77557,145134,212763,34217,67660,23246,30,77,17,585874
군자역,승차,4330,5788,3707,242784,186199,156883,41507,60250,22288,30,119,59,723944
군자역,하차,1094,7358,4783,105226,174218,257414,28814,63004,22841,41,92,75,664960
굽은다리역,승차,1963,4068,2807,88619,59293,33595,32602,39559,8930,1,7,6,271450
굽은다리역,하차,783,4570,3387,27434,57155,88959,15693,42900,17258,4,8,5,258156
금호역,승차,2440,2232,771,84601,49708,27442,22081,24046,5087,9,28,11,218456
금호역,하차,304,2832,2533,18838,52190,77128,10173,28437,11970,9,29,15,204458
길동역,승차,1500,2389,1424,61705,52559,33427,25847,42811,9942,13,31,11,231659
