month,역명,영업업종,월임대료,점포수,평균 면적
1,가락시장역,공실,0.0,1,30.44
1,가락시장역,기타,1012000.0,1,19.84
1,가락시장역,식음료,1693000.0,2,22.805
1,가락시장역,패션잡화,4099800.0,1,52.16
1,가락시장역,편의점,5233461.0,1,33.0
1,가산디지털단지역,식음료,7512000.0,1,34.0
1,가산디지털단지역,편의점,16485040.0,1,35.8
1,가산디지털단지역,플라워,3747959.0,1,41.97
1,가산디지털단지역,화상면접,975346.0,1,69.0
1,강남구청역,공실,0.0,1,41.0
1,강남구청역,기타,2083937.5,8,59.0
1,강남구청역,의약업,3955500.0,2,188.85
1,강남구청역,패션잡화,2247995.2,5,33.04
1,강남구청역,편의점,16140410.0,1,63.8
1,강남구청역,플라워,2288553.0,1,55.0
1,강남역,기타,3295000.0,1,13.3
1,강남역,식음료,29358258.0,1,60.97
1,강남역,의약업,14551200.0,1,26.6
1,강남역,패션잡화,8589693.0,2,23.425
1,강남역,화장품,22234458.0,1,35.5
1,강동구청역,공실,0.0,1,37.45
1,강동구청역,식음료,2500000.0,1,46.69
1,강동구청역,패션잡화,1833000.0,1,36.96
1,강동구청역,편의점,6354679.0,1,30.0
1,강동역,기타,0.0,2,56.435
1,강동역,식음료,947500.0,3,22.34
1,강동역,패션잡화,4859380.0,4,67.8575
1,강동역,편의점,6532500.0,1,57.26
1,강변역,편의점,14410000.0,1,41.0
1,강변역,화장품,8729997.0,1,36.5
1,개롱역,편의점,3490500.0,1,40.0
1,개화산역,편의점,3022500.0,1,30.0
1,거여역,편의점,3159000.0,1,28.98
1,건대입구역,공실,0.0,2,29.5
1,건대입구역,기타,18989000.0,1,867.64
1,건대입구역,식음료,6715635.166666667,6,39.803333333333335
1,건대입구역,의약업,20875000.0,2,75.5
1,건대입구역,패션잡화,5011000.0,1,29.5
1,건대입구역,편의점,8118383.0,2,28.43
1,건대입구역,플라워,3411217.0,3,24.07333333333333
1,경복궁역,식음료,1508490.0,1,25.5
1,경찰병원역,의약업,3510000.0,2,47.2
1,고덕역,식음료,5555500.0,1,42.94
1,고덕역,편의점,3354000.0,1,28.62
1,고려대역,편의점,7763133.0,1,35.0
1,고려대역,플라워,1080094.0,1,38.4
