month,역명,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,가락시장역,0.0,51008.06451612903,0.0,0.0,0.0,74238.10567857926,0.0,78600.4601226994,158589.72727272726,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
1,강남구청역,0.0,35320.97457627119,0.0,0.0,0.0,0.0,20945.194598888007,68038.59564164649,252984.4827586207,41610.05454545454,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0
1,강동구청역,0.0,0.0,0.0,0.0,0.0,53544.65624330692,0.0,49594.155844155845,211822.63333333333,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,건대입구역,0.0,21885.805172652254,0.0,0.0,0.0,168720.42123775228,276490.06622516556,169864.40677966102,285556.91171297926,141701.0661866519,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0
1,공덕역,19360.458353868897,35757.63030848539,40441.17647058824,0.0,0.0,133760.25688073394,0.0,80841.76661492874,229253.27052489907,50884.5180584311,0.0,292916.6666666667,3,6.0,10.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0,4.0,0.0,1.0
1,광흥창역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99811.7,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,교대역,0.0,19931.73888860798,0.0,0.0,6500.901829425406,108790.05328596804,0.0,76689.3191623698,47540.22988505747,54637.342908438055,0.0,0.0,2,0.0,3.0,0.0,0.0,5.0,3.0,0.0,3.0,1.0,2.0,0.0,0.0
1,구산역,0.0,0.0,0.0,27230.666666666668,0.0,0.0,0.0,0.0,157480.69277108432,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,군자역,0.0,0.0,0.0,0.0,0.0,161602.82732447816,0.0,75587.26737953216,271626.9609631521,147611.06451612903,0.0,80591.00067159167,3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,1.0
1,굽은다리역,0.0,13549.448275862069,0.0,0.0,0.0,50268.25442927679,0.0,73093.2326459483,120250.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,남구로역,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,53125.0,250324.32432432432,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,노원역,0.0,69416.20731707317,0.0,0.0,15865.689865689865,61838.35400793401,0.0,51604.499103253904,358679.7824116047,0.0,0.0,0.0,1,0.0,3.0,0.0,0.0,2.0,6.0,0.0,12.0,1.0,0.0,0.0,0.0
1,논현역,0.0,72413.79310344828,0.0,0.0,0.0,101894.95501285348,63774.375,99125.92592592593,298266.29339305713,0.0,0.0,90305.08695652174,3,0.0,1.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,0.0,1.0
1,단대오거리역,0.0,0.0,0.0,46220.77215878195,0.0,0.0,0.0,50339.59248901318,191860.27692307692,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,당고개역,0.0,82866.37931034483,0.0,61843.98429132452,0.0,31328.614211815955,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1,당산역,0.0,0.0,0.0,0.0,0.0,145355.44245608276,0.0,113200.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
1,대림역,0.0,743469.5244474213,0.0,0.0,0.0,414239.2668842581,0.0,233158.83116439526,394348.98000403953,28401.23052607812,0.0,186264.22802850357,1,0.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,2.0,0.0,1.0
1,대흥역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65720.1740325166,159698.73333333334,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1,독바위역,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58778.01916932907,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
