month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구,평균면적당 임대료_공유오피스,평균면적당 임대료_기타,평균면적당 임대료_무인프린트,평균면적당 임대료_밀키트,평균면적당 임대료_사무실,평균면적당 임대료_식음료,평균면적당 임대료_의약업,평균면적당 임대료_패션잡화,평균면적당 임대료_편의점,평균면적당 임대료_플라워,평균면적당 임대료_화상면접,평균면적당 임대료_화장품,공실수,점포수_공유오피스,점포수_기타,점포수_무인프린트,점포수_밀키트,점포수_사무실,점포수_식음료,점포수_의약업,점포수_패션잡화,점포수_편의점,점포수_플라워,점포수_화상면접,점포수_화장품
1,가락시장역,승차,2081,5058,1850,100710,118710,127207,35907.0,91506.0,22954.0,6.0,25.0,21.0,506035.0,0.0,51008.06451612903,0.0,0.0,0.0,74238.10567857926,0.0,78600.4601226994,158589.72727272726,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
1,가락시장역,하차,1355,4177,4293,125572,107287,132363,39584.0,88310.0,21674.0,11.0,36.0,14.0,524676.0,0.0,51008.06451612903,0.0,0.0,0.0,74238.10567857926,0.0,78600.4601226994,158589.72727272726,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
1,강남구청역,승차,623,3828,3079,29258,139017,239759,9702.0,32524.0,10915.0,4.0,57.0,40.0,468806.0,0.0,35320.97457627119,0.0,0.0,0.0,0.0,20945.194598888007,68038.59564164649,252984.4827586207,41610.05454545454,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0
1,강남구청역,하차,2110,4286,1533,286790,112432,52773,24211.0,23800.0,5826.0,17.0,82.0,26.0,513886.0,0.0,35320.97457627119,0.0,0.0,0.0,0.0,20945.194598888007,68038.59564164649,252984.4827586207,41610.05454545454,0.0,0.0,1,0.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0
1,강동구청역,승차,1860,4506,1336,103752,71350,53787,25796.0,35972.0,7560.0,1.0,10.0,2.0,305932.0,0.0,0.0,0.0,0.0,0.0,53544.65624330692,0.0,49594.155844155845,211822.63333333333,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,강동구청역,하차,626,3762,3587,65228,65122,107750,16949.0,38906.0,14293.0,3.0,9.0,11.0,316246.0,0.0,0.0,0.0,0.0,0.0,53544.65624330692,0.0,49594.155844155845,211822.63333333333,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
1,건대입구역,승차,5891,22916,30322,313809,436841,519171,42687.0,89069.0,26713.0,95.0,483.0,286.0,1488283.0,0.0,21885.805172652254,0.0,0.0,0.0,168720.42123775228,276490.0662251656,169864.40677966102,285556.91171297926,141701.0661866519,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0
1,건대입구역,하차,4470,38556,20190,267907,529303,550649,43187.0,89120.0,25079.0,84.0,457.0,352.0,1569354.0,0.0,21885.805172652254,0.0,0.0,0.0,168720.42123775228,276490.0662251656,169864.40677966102,285556.91171297926,141701.0661866519,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,3.0,0.0,0.0
1,공덕역,승차,3095,8809,3903,166036,285903,352872,30681.0,75461.0,23540.0,441.0,1065.0,376.0,952182.0,19360.458353868897,35757.63030848539,40441.17647058824,0.0,0.0,133760.25688073394,0.0,80841.76661492874,229253.27052489907,50884.5180584311,0.0,292916.6666666667,3,6.0,10.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0,4.0,0.0,1.0
1,공덕역,하차,2437,7701,5302,365226,215924,231621,37668.0,67423.0,17770.0,96.0,776.0,1048.0,952992.0,19360.458353868897,35757.63030848539,40441.17647058824,0.0,0.0,133760.25688073394,0.0,80841.76661492874,229253.27052489907,50884.5180584311,0.0,292916.6666666667,3,6.0,10.0,1.0,0.0,0.0,5.0,0.0,11.0,2.0,4.0,0.0,1.0
