역명,승하차구분,승객유형,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,합계
가락시장,승차,어린이,0,17,17,107,82,81,81,139,160,192,186,163,165,121,89,46,30,18,3,1,1698
가락시장,승차,외국인,0,0,0,0,0,3,3,13,5,8,6,3,18,0,3,0,5,2,0,0,69
가락시장,승차,우대권,2068,3267,5231,6563,8964,12231,13565,12568,13141,15676,17179,14515,11511,8472,5967,5268,3861,2553,872,232,163704
가락시장,승차,일반,4537,10091,26509,29596,18529,14114,13522,14742,15488,16468,18582,22871,35119,48704,22348,20999,22442,19130,8766,1673,384230
가락시장,승차,중고생,0,0,0,0,0,0,2,0,0,1,2,1,0,1,1,1,0,0,0,0,9
가락시장,승차,청소년,13,70,845,513,388,412,362,583,458,432,622,1041,935,660,387,330,340,278,92,16,8777
가락시장,하차,어린이,0,0,1,22,23,39,110,78,105,161,158,179,247,250,147,111,82,57,17,8,1795
가락시장,하차,외국인,0,0,0,0,2,3,7,6,8,10,5,0,3,8,7,3,0,4,1,0,67
가락시장,하차,우대권,2028,5584,5424,6850,8585,11810,14671,14270,12773,14012,14892,14715,12233,8409,5187,4481,3362,2301,982,298,162867
가락시장,하차,일반,1233,7399,21488,59317,22519,13027,12520,13357,14944,14910,17088,24811,36440,50383,32311,19878,17552,15435,10296,3693,408601
가락시장,하차,중고생,0,1,1,0,0,0,0,0,2,1,1,2,1,1,0,1,0,0,0,0,11
가락시장,하차,청소년,3,56,261,1379,380,414,445,488,587,587,765,845,747,687,639,558,526,921,229,58,10575
가산디지털단지,승차,어린이,0,1,6,57,24,30,33,61,87,116,143,212,174,195,107,85,31,5,0,0,1367
가산디지털단지,승차,외국인,1,0,9,2,5,8,3,11,20,15,27,27,26,38,28,9,27,1,0,0,257
가산디지털단지,승차,우대권,1236,2469,1816,2338,2792,4081,5027,5858,6966,8455,11983,12469,12513,9441,5215,3365,2493,1156,449,48,100170
가산디지털단지,승차,일반,5524,7099,21143,25021,17542,14786,19086,26769,30482,35525,45466,71678,197818,276350,107361,61836,49289,26905,11767,1416,1052863
가산디지털단지,승차,중고생,0,0,4,1,1,2,2,4,3,4,4,1,2,19,0,2,0,0,0,1,50
가산디지털단지,승차,청소년,11,28,288,292,130,111,193,252,331,357,491,575,993,972,475,360,302,276,81,14,6532
가산디지털단지,하차,어린이,0,7,5,81,23,73,96,122,168,190,166,146,124,94,51,31,14,11,5,1,1408
가산디지털단지,하차,외국인,0,0,0,3,3,16,16,54,33,38,25,26,22,16,26,8,10,8,1,0,305
