month,역명,승하차구분,미성년_아침_유동인구,미성년_점심_유동인구,미성년_저녁_유동인구,성인_아침_유동인구,성인_점심_유동인구,성인_저녁_유동인구,노인_아침_유동인구,노인_점심_유동인구,노인_저녁_유동인구,외국인_아침_유동인구,외국인_점심_유동인구,외국인_저녁_유동인구,총유동인구
1,가락시장역,승차,2081,5058,1850,100710,118710,127207,35907.0,91506.0,22954.0,6.0,25.0,21.0,506035.0
1,가락시장역,하차,1355,4177,4293,125572,107287,132363,39584.0,88310.0,21674.0,11.0,36.0,14.0,524676.0
1,가산디지털단지역,승차,851,3943,3078,91859,420772,614740,14423.0,66015.0,22390.0,12.0,188.0,139.0,1238410.0
1,가산디지털단지역,하차,2513,3911,1422,850739,174920,103856,50441.0,40208.0,6486.0,32.0,208.0,30.0,1234766.0
1,강남구청역,승차,623,3828,3079,29258,139017,239759,9702.0,32524.0,10915.0,4.0,57.0,40.0,468806.0
1,강남구청역,하차,2110,4286,1533,286790,112432,52773,24211.0,23800.0,5826.0,17.0,82.0,26.0,513886.0
1,강남역,승차,4736,34566,33675,205358,832333,1140051,27120.0,107936.0,32384.0,189.0,1798.0,1175.0,2421321.0
1,강남역,하차,18175,35457,15613,972143,708073,436801,59982.0,72232.0,13777.0,279.0,1932.0,738.0,2335202.0
1,강동구청역,승차,1860,4506,1336,103752,71350,53787,25796.0,35972.0,7560.0,1.0,10.0,2.0,305932.0
1,강동구청역,하차,626,3762,3587,65228,65122,107750,16949.0,38906.0,14293.0,3.0,9.0,11.0,316246.0
1,강동역,승차,2149,5187,2223,180704,137986,95534,35526.0,59436.0,14574.0,10.0,18.0,5.0,533352.0
1,강동역,하차,1351,4270,3915,110434,112398,180601,26231.0,61351.0,19386.0,6.0,15.0,13.0,519971.0
1,강변역,승차,10987,19462,5549,334827,280479,152623,38470.0,61388.0,16565.0,91.0,275.0,132.0,920848.0
1,강변역,하차,2939,15219,15423,120357,278884,316351,26781.0,64779.0,19734.0,61.0,256.0,74.0,860858.0
1,강일역,승차,2161,5102,1225,61489,35753,15481,20261.0,19705.0,3246.0,2.0,4.0,1.0,164430.0
1,강일역,하차,334,3091,4472,18377,24200,59186,8210.0,22277.0,11236.0,0.0,3.0,1.0,151387.0
1,개롱역,승차,2192,6133,1480,60123,38330,24565,19479.0,27378.0,5690.0,5.0,16.0,2.0,185393.0
1,개롱역,하차,932,4261,5083,26785,36736,66411,12932.0,30707.0,10900.0,1.0,7.0,27.0,194782.0
1,개화산역,승차,1294,3071,814,58730,40469,27916,16418.0,20884.0,3805.0,6.0,7.0,0.0,173414.0
1,개화산역,하차,252,2035,2657,32543,31143,57438,10590.0,21686.0,8297.0,2.0,8.0,4.0,166655.0
1,거여역,승차,3588,6604,1498,117344,60908,31278,29900.0,32698.0,5840.0,0.0,5.0,0.0,289663.0
1,거여역,하차,1122,4865,5827,32083,55237,117545,14131.0,36250.0,16284.0,0.0,3.0,1.0,283348.0
1,건대입구역,승차,5891,22916,30322,313809,436841,519171,42687.0,89069.0,26713.0,95.0,483.0,286.0,1488283.0
1,건대입구역,하차,4470,38556,20190,267907,529303,550649,43187.0,89120.0,25079.0,84.0,457.0,352.0,1569354.0
1,경복궁역,승차,2136,13947,4420,60246,244000,252595,15180.0,55120.0,15909.0,170.0,4219.0,576.0,668518.0
1,경복궁역,하차,4342,13499,4178,263408,218423,82567,29620.0,45001.0,8721.0,1568.0,3945.0,230.0,675502.0
1,경찰병원역,승차,1696,2831,709,73195,54197,40724,15452.0,24135.0,5171.0,3.0,10.0,6.0,218129.0
1,경찰병원역,하차,306,2193,3046,55041,43677,68250,13054.0,24850.0,8782.0,0.0,4.0,2.0,219205.0
1,고덕역,승차,2867,12701,8339,80979,75892,43301,22133.0,48172.0,7279.0,5.0,7.0,2.0,301677.0
1,고덕역,하차,3493,11993,7160,48970,60238,90248,23427.0,40576.0,11704.0,1.0,11.0,0.0,297821.0
1,고려대역,승차,1030,3093,968,67416,76631,45960,12849.0,18028.0,4444.0,10.0,46.0,16.0,230491.0
1,고려대역,하차,1084,2418,1575,53790,52810,75975,9323.0,17392.0,7758.0,4.0,51.0,27.0,222207.0
1,고속터미널역,승차,12705,38108,17009,223461,767207,604919,42241.0,189047.0,56718.0,183.0,1363.0,841.0,1953802.0
