역명,영업업종,월임대료,점포수,평균 면적
가락시장역,기타,1012000.0,1,19.84
가락시장역,식음료,1693000.0,2,22.805
가락시장역,패션잡화,4272800.0,1,52.16
가락시장역,편의점,5233461.0,1,33.0
가산디지털단지역,식음료,13751200.0,1,34.0
가산디지털단지역,편의점,16485040.0,1,35.8
가산디지털단지역,플라워,4196536.0,1,41.97
가산디지털단지역,화상면접,975346.0,1,69.0
강남구청역,공실,0.0,2,49.0
강남구청역,기타,2083937.5,8,59.0
강남구청역,의약업,3955500.0,2,188.85
강남구청역,패션잡화,1825680.5,4,27.05
강남구청역,편의점,16140410.0,1,63.8
강남구청역,플라워,2288553.0,1,55.0
강남역,공실,0.0,2,16.8
강남역,식음료,29358258.0,1,60.97
강남역,의약업,14551200.0,1,26.6
강남역,패션잡화,10000800.0,1,26.55
강남역,화장품,22234458.0,1,35.5
강동구청역,식음료,2500000.0,1,46.69
강동구청역,패션잡화,2170650.0,2,37.205
강동구청역,편의점,6354679.0,1,30.0
강동역,공실,0.0,4,86.71499999999999
강동역,식음료,2842500.0,1,15.0
강동역,패션잡화,2339400.0,3,19.96
강동역,편의점,6532500.0,1,57.26
강변역,편의점,14410000.0,1,41.0
강변역,화장품,8729997.0,1,36.5
강일역,공실,0.0,2,82.25999999999999
개롱역,편의점,3490500.0,1,40.0
개화산역,편의점,3022500.0,1,30.0
거여역,편의점,3159000.0,1,28.98
건대입구역,공실,0.0,1,58.21
건대입구역,기타,18989000.0,1,867.64
건대입구역,식음료,6750642.2,5,40.556
건대입구역,의약업,20875000.0,2,75.5
건대입구역,패션잡화,5011000.0,1,29.5
건대입구역,편의점,8118383.0,2,28.43
건대입구역,플라워,3411217.0,3,24.073333333333334
경복궁역,식음료,1508490.0,1,25.5
경찰병원역,의약업,3510000.0,2,47.2
고덕역,식음료,5555500.0,1,42.94
고덕역,편의점,3354000.0,1,28.62
고려대역,편의점,7763133.0,1,35.0
고려대역,플라워,1080094.0,1,38.4
고려대역,화상면접,1660862.0,1,125.0
고속터미널역,기타,1484155.5555555555,9,96.32222222222222
고속터미널역,식음료,3834219.4,10,19.906
고속터미널역,의약업,0.0,1,0.0
고속터미널역,패션잡화,15964737.272727273,33,254.8021212121212
고속터미널역,편의점,23453430.0,1,60.27
고속터미널역,플라워,3235240.0,1,95.0
고속터미널역,화장품,7793798.0,2,14.4
공덕역,공실,0.0,1,30.0
공덕역,공유오피스,1964118.5,2,86.45
공덕역,기타,3820275.0,8,40.26375
공덕역,무인프린트,1375000.0,1,34.0
공덕역,식음료,6746467.333333333,6,62.56666666666666
공덕역,패션잡화,4064833.3333333335,12,43.449999999999996
공덕역,편의점,8516759.0,2,37.15
공덕역,플라워,2211950.0,4,43.47
공덕역,화장품,7030000.0,1,24.0
공릉역,공실,0.0,1,29.88
공릉역,기타,2079853.0,1,40.0
공릉역,식음료,3600000.0,1,50.0
공릉역,패션잡화,2765000.0,2,29.71
공릉역,편의점,7699120.0,1,28.91
광나루역,식음료,3063600.0,1,62.2
광나루역,패션잡화,3766731.0,1,53.26
광나루역,편의점,6922500.0,1,45.0
광나루역,플라워,2221600.0,1,17.86
광명사거리역,기타,3143467.0,1,37.0
광명사거리역,무인프린트,1204446.0,1,13.0
광명사거리역,식음료,4462329.0,2,42.870000000000005
광명사거리역,패션잡화,3504241.0,2,42.5
광명사거리역,편의점,12292280.0,1,34.27
광명사거리역,플라워,3897086.0,1,40.0
광명사거리역,화장품,3849143.0,1,37.17
광화문역,기타,4629150.0,2,457.17
광화문역,패션잡화,1319999.0,1,10.0
광화문역,편의점,9574500.0,1,56.0
광흥창역,공실,0.0,2,106.0
광흥창역,편의점,3992468.0,1,40.0
교대역,공실,0.0,2,37.7
교대역,기타,2053950.0,2,98.885
교대역,사무실,520175.0,4,87.6
교대역,식음료,5417643.333333333,6,27.03833333333333
교대역,패션잡화,994600.0,1,37.7
교대역,편의점,5376800.0,1,113.1
교대역,플라워,1521650.0,2,27.85
구로디지털단지역,공실,0.0,1,103.0
구로디지털단지역,식음료,9902195.0,2,19.83
구로디지털단지역,패션잡화,10230000.0,1,100.8
구산역,밀키트,898612.0,1,33.0
구산역,패션잡화,1700500.0,1,30.0
구산역,편의점,5228359.0,1,33.2
구의역,기타,1035300.0,1,27.57
구의역,식음료,1687000.0,1,12.08
구의역,패션잡화,2211000.0,1,20.0
구의역,플라워,2561360.0,1,23.1
구의역,화장품,6940535.0,1,50.46
군자역,공실,0.0,1,50.0
군자역,식음료,4258234.5,2,26.35
군자역,패션잡화,4884437.571428572,7,55.32714285714285
군자역,편의점,14890590.0,1,54.82
군자역,플라워,4575943.0,1,31.0
군자역,화장품,3600000.0,1,44.67
굽은다리역,공실,0.0,1,23.0
굽은다리역,기타,196467.0,1,14.5
굽은다리역,식음료,2123668.0,2,34.43
굽은다리역,편의점,3607500.0,1,30.0
금호역,기타,750000.0,1,28.0
금호역,식음료,808000.0,1,18.61
금호역,편의점,1675000.0,1,25.3
금호역,플라워,1082300.0,1,21.0
금호역,화장품,2285262.0,1,50.3
길동역,편의점,2281500.0,1,31.82
길음역,밀키트,5500000.0,1,100.0
길음역,화장품,1948081.0,1,20.04
김포공항역,사무실,845200.0,2,64.355
김포공항역,식음료,5433888.0,2,49.18
김포공항역,패션잡화,4265945.333333333,6,39.58833333333333
김포공항역,편의점,3256500.0,1,32.34
김포공항역,플라워,4310000.0,1,21.53
김포공항역,화상면접,613792.0,1,53.15
까치산역,기타,9300000.0,1,24.15
까치산역,식음료,8195000.0,2,29.05
까치산역,패션잡화,7807125.0,4,26.3875
까치산역,편의점,8970000.0,1,37.82
까치산역,플라워,6383300.0,1,19.28
낙성대역,공실,0.0,2,18.990000000000002
낙성대역,기타,1010000.0,1,112.42
낙성대역,패션잡화,3210000.0,1,20.94
남구로역,공실,0.0,1,22.0
남구로역,패션잡화,1850000.0,2,36.0
남구로역,편의점,8428420.0,1,33.67
남성역,식음료,7166003.0,1,65.0
남성역,편의점,9788350.0,1,45.25
남위례역,공실,0.0,2,30.05
남한산성입구역,공실,0.0,1,34.18
남한산성입구역,기타,2300000.0,1,34.32
남한산성입구역,식음료,1616800.0,3,31.28333333333333
남한산성입구역,편의점,8863280.0,1,36.0
내방역,밀키트,1259909.0,1,34.0
내방역,식음료,3967708.0,1,28.0
내방역,패션잡화,3014500.0,2,37.89
내방역,편의점,15240940.0,1,62.21
내방역,화장품,1619492.0,1,28.0
